
2024/11/26 (12:28:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/26 (12:28:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/26 (12:28:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/26 (12:30:35) | ===> btop++ v.1.4.0
2024/11/26 (12:30:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/26 (12:30:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/26 (12:30:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/26 (12:30:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/26 (12:30:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/26 (12:30:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/27 (23:54:22) | ===> btop++ v.1.4.0
2024/11/27 (23:54:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/27 (23:54:22) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/27 (23:54:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/27 (23:54:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/27 (23:54:22) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/27 (23:54:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/28 (00:06:03) | ===> btop++ v.1.4.0
2024/11/28 (00:06:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (00:06:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/28 (00:06:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (00:06:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/28 (00:06:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/28 (00:06:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/28 (07:31:47) | ===> btop++ v.1.4.0
2024/11/28 (07:31:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (07:31:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/28 (07:31:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (07:31:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/28 (07:31:47) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/28 (07:31:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/28 (15:35:03) | ===> btop++ v.1.4.0
2024/11/28 (15:35:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (15:35:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/28 (15:35:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (15:35:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/28 (15:35:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/28 (15:35:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/28 (16:21:15) | ===> btop++ v.1.4.0
2024/11/28 (16:21:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (16:21:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/28 (16:21:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (16:21:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/28 (16:21:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/28 (16:21:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/28 (16:21:37) | ===> btop++ v.1.4.0
2024/11/28 (16:21:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (16:21:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/28 (16:21:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (16:21:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/28 (16:21:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/28 (16:21:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/28 (16:40:19) | ===> btop++ v.1.4.0
2024/11/28 (16:40:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (16:40:19) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/28 (16:40:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (16:40:19) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/28 (16:40:19) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/28 (16:40:19) | WARNING: ROCm SMI: Failed to get PCIe throughput
